"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O43854",1.7447980839759,20.4126499455867,12.0884755803098,3.32386134479313e-05,0.0180725786328946,2.9192745303882
"O75695",2.66378192189341,23.0231382209825,11.5875119509197,4.17380568889022e-05,0.0180725786328946,2.74445646624092
"Q13643",1.45832279532682,21.2013189003912,9.02765656464607,0.000157436472216558,0.045446661646513,1.63516126595719
"P30626",2.41225304663003,22.358243190258,8.22742669525819,0.00025574701994563,0.055369229818229,1.19578175737135
"P62241",-2.78055782957598,22.9778898986513,-6.07472724104579,0.00119191586359135,0.206439827574023,-0.29050038631657
"Q71U36;P0DPH8;P0DPH7;Q6PEY2;A6NHL2",1.15345940383419,20.8454187646856,5.46328879444337,0.00199755468058993,0.288313725565146,-0.813168496573777
"Q9UKS6",-1.44020891536815,22.0176920222147,-5.22511729700328,0.00247109926063516,0.305710279958579,-1.03105434159503
"Q99829",-1.92511232393356,21.9389739277711,-5.03986943175037,0.00292985595241074,0.317156906848463,-1.20637583501903
"P16671",1.29601033285302,21.033180711118,4.57246318072044,0.00459284029174975,0.391864417342313,-1.67246167044446
"A6NDG6",1.32077556429717,21.2141912794777,4.50887191883054,0.00489375366942046,0.391864417342313,-1.7385766637655
"P47897",1.89820486735561,21.6651522311944,4.49196632850752,0.0049774925990363,0.391864417342313,-1.75626420651396
"P26022",-1.76640295781173,21.5323798613019,-4.29992159800417,0.00605284222416561,0.427176991823342,-1.96048978378137
"P26639",1.0504727214483,22.6402402797256,4.24421684070657,0.00641258763707095,0.427176991823342,-2.02086886679384
"Q86VP6",0.713512503356387,24.3820573453371,4.16676991232328,0.00695381506686575,0.430143131993267,-2.10567224826361
"Q7Z5G4;Q2TAP0",1.37359220082862,21.0125998084258,3.79635262660139,0.0103739051042383,0.522508492983238,-2.52511481961584
"O14493;O95484;P56747;O15551",0.682507205078505,27.6037680475525,3.77918541075573,0.0105733871542073,0.522508492983238,-2.54510800421478
"Q13158",0.793975980472737,21.3902176403174,3.62125917307123,0.0126252715448883,0.522508492983238,-2.73130684156656
"P54725",0.801054149667156,21.6147485332631,3.61816651104379,0.0126696892457448,0.522508492983238,-2.73499387077167
"P35237",0.713134271448528,24.9411335685394,3.61685793523401,0.0126885361046047,0.522508492983238,-2.73655440427215
"P52209",0.642200741011308,25.5599294673257,3.5191299474792,0.0141889946957465,0.522508492983238,-2.85388032157058
"P29508",0.722224593284132,25.9846618299614,3.50041345279088,0.0144984575281039,0.522508492983238,-2.87652476542421
"P19440;A6NGU5;P36268;Q14390;B5MD39",0.677987087971548,21.4780178686933,3.47091369848173,0.0150016409322461,0.522508492983238,-2.91232835542883
"P43121",1.02364729118568,20.9172968960992,3.38169417655698,0.0166460388559929,0.522508492983238,-3.0214445614137
"P84090",1.65616502720666,22.1354122896238,3.27441182288572,0.0188947963274002,0.522508492983238,-3.15427161616059
"P78539",0.682724610339605,20.8347271901071,3.2559254967874,0.0193153847788736,0.522508492983238,-3.17733415754673
"P48643",2.45281523084003,22.1449399644406,3.25570148831965,0.0193205445344324,0.522508492983238,-3.17761392802804
"P06702",0.765475502451153,25.946099273401,3.19394543657283,0.0208030474721651,0.522508492983238,-3.25502239931549
"P15144",1.2001772424456,29.3390555089238,3.13852239563166,0.022241237198949,0.522508492983238,-3.32495875202594
"O14579",-1.83662696953381,21.7267245423792,-3.13581370101765,0.0223142892809456,0.522508492983238,-3.32838783636538
"Q14160",2.01856036634297,22.2206756499474,3.13137629702092,0.022434536921704,0.522508492983238,-3.33400759501513
