"UNIPROT","Symbol","DriverScore","ExprScore","NetScore","Symbol_biomat","Protein_Description","GO_BP","GO_CC","GO_MF"
"P05106","ITGB3",0.946081687623276,1.19632593524873,-0.269769987434804,"ITGB3","integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]","regulation of biological quality; positive regulation of cell migration; cell adhesion; angiogenesis; regulation of transport; regulation of protein localization; regulation of developmental process; integrin-mediated signaling pathway; cell adhesion mediated by integrin; negative chemotaxis; positive regulation of cell population proliferation; platelet activation; symbiont entry into host cell; cell-matrix adhesion; heterotypic cell-cell adhesion; mesodermal cell differentiation; positive regulation of vascular endothelial growth factor signaling pathway; cell-substrate adhesion; cell migration; positive regulation of endothelial cell proliferation; blood coagulation; positive regulation of endothelial cell migration; substrate adhesion-dependent cell spreading; wound healing; positive regulation of vascular endothelial growth factor receptor signaling pathway; negative regulation of low-density lipoprotein particle clearance; regulation of bone resorption; smooth muscle cell migration; negative regulation of lipid transport; tube development; wound healing, spreading of epidermal cells; apoptotic cell clearance; negative regulation of lipoprotein metabolic process; regulation of serotonin uptake; angiogenesis involved in wound healing; positive regulation of cell-matrix adhesion; cell-substrate junction assembly; platelet-derived growth factor receptor signaling pathway; positive regulation of fibroblast proliferation; blood coagulation, fibrin clot formation; positive regulation of substrate adhesion-dependent cell spreading; regulation of trophoblast cell migration; regulation of extracellular matrix organization; positive regulation of leukocyte migration; embryo implantation; regulation of G protein-coupled receptor signaling pathway; positive regulation of gene expression; response to activity; positive regulation of smooth muscle cell migration; regulation of actin cytoskeleton organization; positive regulation of cell adhesion mediated by integrin; positive regulation of osteoblast proliferation; positive regulation of angiogenesis; positive regulation of smooth muscle cell proliferation; regulation of release of sequestered calcium ion into cytosol; cellular response to mechanical stimulus; cellular response to xenobiotic stimulus; positive regulation of glomerular mesangial cell proliferation; positive regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway; cellular response to insulin-like growth factor stimulus; negative regulation of endothelial cell apoptotic process; positive regulation of T cell migration","plasma membrane; membrane; cell projection; synapse; nucleoplasm; focal adhesion; lamellipodium membrane; filopodium membrane; anchoring junction; filopodium; postsynaptic membrane; ruffle; microvillus membrane; integrin complex; integrin alphav-beta3 complex; nucleus; cell-cell junction; glutamatergic synapse; receptor complex; platelet alpha granule membrane; protein-containing complex; alphav-beta3 integrin-vitronectin complex; alphav-beta3 integrin-IGF-1-IGF1R complex; alphav-beta3 integrin-PKCalpha complex; alphav-beta3 integrin-HMGB1 complex; synaptic membrane; alpha9-beta1 integrin-ADAM8 complex","enzyme binding; metal ion binding; protein binding; protein disulfide isomerase activity; identical protein binding; virus receptor activity; protease binding; fibronectin binding; coreceptor activity; extracellular matrix binding; integrin binding; vascular endothelial growth factor receptor 2 binding; platelet-derived growth factor receptor binding; cell adhesion molecule binding; C-X3-C chemokine binding; neuregulin binding; protein kinase C binding"
"P05121","SERPINE1",0.460920365014129,-0.431010990626699,0.961525840802018,"SERPINE1","serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]","angiogenesis; response to bacterium; positive regulation of inflammatory response; defense response to Gram-negative bacterium; cellular response to lipopolysaccharide; positive regulation of angiogenesis; positive regulation of receptor-mediated endocytosis; negative regulation of wound healing; negative regulation of cell migration; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of endothelial cell apoptotic process; negative regulation of cell adhesion mediated by integrin; negative regulation of smooth muscle cell migration; positive regulation of odontoblast differentiation; positive regulation of blood coagulation; negative regulation of proteolysis; negative regulation of fibrinolysis; fibrinolysis; negative regulation of vascular wound healing; negative regulation of blood coagulation; positive regulation of leukotriene production involved in inflammatory response; positive regulation of coagulation; positive regulation of monocyte chemotaxis; replicative senescence; dentinogenesis; negative regulation of smooth muscle cell-matrix adhesion; negative regulation of integrin-mediated signaling pathway","extracellular space; extracellular region; plasma membrane; extracellular matrix; platelet alpha granule lumen; serine protease inhibitor complex; peptidase inhibitor complex","serine-type endopeptidase inhibitor activity; peptidase inhibitor activity; protein binding; protease binding; signaling receptor binding; endopeptidase inhibitor activity"
"P05362","ICAM1",-2.30128795406701,-1.36165029531819,-1.01295451064008,"ICAM1","intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]","cell adhesion; cell-cell adhesion; immune response; symbiont entry into host cell; cellular response to oxygen-containing compound; leukocyte migration; establishment of endothelial barrier; leukocyte cell-cell adhesion; cell adhesion mediated by integrin; cellular response to glucose stimulus; T cell extravasation; regulation of ruffle assembly; cellular response to leukemia inhibitory factor; immune effector process; cellular response to amyloid-beta; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of endothelial cell apoptotic process; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules; regulation of leukocyte mediated cytotoxicity; positive regulation of cellular extravasation; membrane to membrane docking; adhesion of symbiont to host; receptor-mediated virion attachment to host cell","membrane; extracellular space; focal adhesion; plasma membrane; membrane raft; immunological synapse; extracellular matrix","integrin binding; protein binding; virus receptor activity; signaling receptor activity; transmembrane signaling receptor activity"
"P05556","ITGB1",-0.925040522347614,0.963507709085011,-2.03590547034727,"ITGB1","integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]","regulation of biological quality; positive regulation of cell migration; cell adhesion; angiogenesis; regulation of developmental process; integrin-mediated signaling pathway; cell adhesion mediated by integrin; symbiont entry into host cell; receptor internalization; CD40 signaling pathway; leukocyte tethering or rolling; muscle organ development; myoblast fusion; cell-matrix adhesion; heterotypic cell-cell adhesion; mesodermal cell differentiation; positive regulation of vascular endothelial growth factor signaling pathway; cell-substrate adhesion; positive regulation of GTPase activity; cell migration; positive regulation of protein localization to plasma membrane; negative regulation of vasoconstriction; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; cell-cell adhesion; positive regulation of angiogenesis; extracellular matrix organization; maintenance of blood-brain barrier; positive regulation of wound healing; cellular defense response; homophilic cell adhesion via plasma membrane adhesion molecules; phagocytosis; regulation of spontaneous synaptic transmission; wound healing, spreading of epidermal cells; cellular response to low-density lipoprotein particle stimulus; leukocyte cell-cell adhesion; calcium-independent cell-matrix adhesion; positive regulation of apoptotic process; positive regulation of glutamate uptake involved in transmission of nerve impulse; reactive gliosis; establishment of mitotic spindle orientation; cell projection organization; lamellipodium assembly; B cell differentiation; cell-cell adhesion mediated by integrin; myoblast differentiation; positive regulation of fibroblast growth factor receptor signaling pathway; negative regulation of anoikis; neuroblast proliferation; cell population proliferation; central nervous system neuron differentiation; G1/S transition of mitotic cell cycle; in utero embryonic development; cell migration involved in sprouting angiogenesis; positive regulation of neuroblast proliferation; autophagy; germ cell migration; negative regulation of autophagy; formation of radial glial scaffolds; neuron projection development; negative regulation of Rho protein signal transduction; sarcomere organization; negative regulation of neuron differentiation; myoblast fate specification; axon extension; dendrite morphogenesis; regulation of cell cycle; cardiac muscle cell differentiation; cardiac muscle cell myoblast differentiation; cardiac cell fate specification; response to muscle activity; modulation of chemical synaptic transmission; basement membrane organization; regulation of synapse pruning","cytoplasm; plasma membrane; membrane; cell projection; synapse; endosome; focal adhesion; anchoring junction; lamellipodium; filopodium; recycling endosome; ruffle; integrin alpha9-beta1 complex; endosome membrane; receptor complex; membrane raft; integrin alpha10-beta1 complex; perinuclear region of cytoplasm; integrin complex; neuromuscular junction; glial cell projection; integrin alpha1-beta1 complex; integrin alpha2-beta1 complex; integrin alpha3-beta1 complex; integrin alpha4-beta1 complex; integrin alpha5-beta1 complex; integrin alpha6-beta1 complex; integrin alpha8-beta1 complex; integrin alpha11-beta1 complex; integrin alphav-beta1 complex; cytoplasmic vesicle; glutamatergic synapse; intercalated disc; myelin sheath abaxonal region; dendritic spine; synaptic membrane; integrin alpha7-beta1 complex","protein binding; calcium ion binding; metal ion binding; protein heterodimerization activity; virus receptor activity; protein-containing complex binding; protease binding; cell adhesion molecule binding; protein kinase binding; fibronectin binding; coreceptor activity; cadherin binding; integrin binding; actin binding; C-X3-C chemokine binding; laminin binding; protein tyrosine kinase binding; signaling receptor activity"
"P06748","NPM1",0.997532859524346,1.2136490875615,-0.232979070149507,"NPM1","nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]","negative regulation of cell population proliferation; positive regulation of macromolecule metabolic process; signal transduction; negative regulation of apoptotic process; DNA repair; regulation of cell population proliferation; intracellular protein transport; positive regulation of DNA-templated transcription; positive regulation of transcription by RNA polymerase II; protein localization; positive regulation of nucleobase-containing compound metabolic process; positive regulation of cell population proliferation; chromatin remodeling; protein import into nucleus; positive regulation of translation; nucleocytoplasmic transport; macrophage differentiation; centrosome cycle; nucleosome assembly; positive regulation of NF-kappaB transcription factor activity; ribosomal large subunit export from nucleus; ribosomal small subunit export from nucleus; cellular senescence; positive regulation of cell cycle G2/M phase transition; ribosome assembly; cellular response to UV; regulation of centrosome duplication; negative regulation of centrosome duplication; negative regulation of protein kinase activity by regulation of protein phosphorylation; regulation of centriole replication; regulation of endoribonuclease activity; regulation of eIF2 alpha phosphorylation by dsRNA; regulation of mRNA stability involved in cellular response to UV; regulation of cell growth; cell volume homeostasis; positive regulation of biosynthetic process; post-transcriptional regulation of gene expression; negative regulation of gene expression; positive regulation of protein ubiquitination; regulation of protein stability; regulation of DNA damage response, signal transduction by p53 class mediator; negative regulation of mRNA splicing, via spliceosome; protein stabilization; regulation of cell cycle; positive regulation of protein localization to nucleolus","nucleus; cytoplasm; membrane; nucleoplasm; cytoskeleton; focal adhesion; nucleolus; centrosome; cytosol; protein-containing complex; ribonucleoprotein complex; protein-DNA complex; granular component; spindle pole centrosome; nuclear speck; large ribosomal subunit; small ribosomal subunit","nucleic acid binding; RNA binding; protein binding; identical protein binding; protein homodimerization activity; histone binding; transcription coactivator activity; protein kinase binding; protein kinase inhibitor activity; unfolded protein binding; chromatin binding; molecular adaptor activity; Tat protein binding; NF-kappaB binding; DNA-binding transcription factor binding; core promoter sequence-specific DNA binding; rRNA binding; ribosomal large subunit binding; ribosomal small subunit binding"
"P06756","ITGAV",-1.52831910232325,-0.423211035120062,-1.19133603362469,"ITGAV","integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]","cell adhesion; angiogenesis; calcium ion transmembrane transport; integrin-mediated signaling pathway; cell adhesion mediated by integrin; negative chemotaxis; tissue development; symbiont entry into host cell; cell-matrix adhesion; heterotypic cell-cell adhesion; formation of primary germ layer; apoptotic cell clearance; cell-substrate adhesion; positive regulation of cell population proliferation; blood vessel development; vasculogenesis; positive regulation of cytosolic calcium ion concentration; cell migration; positive regulation of cell migration; positive regulation of osteoblast proliferation; transforming growth factor beta production; extrinsic apoptotic signaling pathway in absence of ligand; cell-cell adhesion; positive regulation of intracellular signal transduction; substrate adhesion-dependent cell spreading; negative regulation of low-density lipoprotein particle clearance; endodermal cell differentiation; positive regulation of cell adhesion; negative regulation of extrinsic apoptotic signaling pathway; negative regulation of lipid transport; wound healing, spreading of epidermal cells; negative regulation of lipoprotein metabolic process; regulation of phagocytosis; positive regulation of small GTPase mediated signal transduction; entry into host cell by a symbiont-containing vacuole; negative regulation of entry of bacterium into host cell","integrin complex; plasma membrane; membrane; cytosol; focal adhesion; lamellipodium membrane; filopodium membrane; anchoring junction; integrin alphav-beta6 complex; microvillus membrane; integrin alphav-beta3 complex; integrin alphav-beta5 complex; specific granule membrane; alphav-beta3 integrin-PKCalpha complex; alphav-beta3 integrin-HMGB1 complex; integrin alphav-beta1 complex; phagocytic vesicle; integrin alphav-beta8 complex; alphav-beta3 integrin-IGF-1-IGF1R complex","metal ion binding; protein binding; integrin binding; virus receptor activity; protease binding; fibronectin binding; coreceptor activity; extracellular matrix binding; signaling receptor activity; opsonin binding; protein kinase C binding; signaling receptor binding; C-X3-C chemokine binding; neuregulin binding; transforming growth factor beta binding; extracellular matrix protein binding"
"P07996","THBS1",0.771215990231163,1.19732416428156,-0.459356000588239,"THBS1","thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]","cell adhesion; apoptotic process; positive regulation of cell migration; negative regulation of apoptotic process; angiogenesis; inflammatory response; positive regulation of chemotaxis; response to xenobiotic stimulus; positive regulation of angiogenesis; positive regulation of immune system process; response to unfolded protein; negative regulation of angiogenesis; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; response to endoplasmic reticulum stress; positive regulation of transforming growth factor beta receptor signaling pathway; regulation of cell-substrate adhesion; blood vessel morphogenesis; positive regulation of cell population proliferation; positive regulation of reactive oxygen species metabolic process; positive regulation of endothelial cell migration; negative regulation of endothelial cell proliferation; positive regulation of phosphorylation; sprouting angiogenesis; positive regulation of MAPK cascade; negative regulation of cell population proliferation; negative regulation of cell-matrix adhesion; cell migration; positive regulation of blood vessel endothelial cell migration; negative regulation of focal adhesion assembly; negative regulation of cell migration involved in sprouting angiogenesis; immune response; negative regulation of sprouting angiogenesis; negative regulation of endothelial cell migration; positive regulation of macrophage activation; positive regulation of endothelial cell apoptotic process; negative regulation of fibrinolysis; positive regulation of smooth muscle cell proliferation; response to progesterone; negative regulation of blood vessel endothelial cell migration; response to glucose; response to calcium ion; blood coagulation, fibrin clot formation; negative regulation of extrinsic apoptotic signaling pathway; response to hypoxia; negative regulation of nitric oxide mediated signal transduction; negative regulation of endothelial cell chemotaxis; response to mechanical stimulus; negative regulation of cGMP-mediated signaling; response to magnesium ion; positive regulation of transforming growth factor beta1 production; response to testosterone; cellular response to heat; negative regulation of fibroblast growth factor receptor signaling pathway; engulfment of apoptotic cell; positive regulation of translation; behavioral response to pain; cellular response to tumor necrosis factor; cellular response to growth factor stimulus; positive regulation of transforming growth factor beta production; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","extracellular region; extracellular space; endoplasmic reticulum; extracellular matrix; platelet alpha granule; endoplasmic reticulum lumen; platelet alpha granule lumen; fibrinogen complex; secretory granule","protein binding; calcium ion binding; heparin binding; fibronectin binding; extracellular matrix binding; phosphatidylserine binding; protein homodimerization activity; extracellular matrix structural constituent; protease binding; endopeptidase inhibitor activity; low-density lipoprotein particle binding; integrin binding; transforming growth factor beta binding; proteoglycan binding; laminin binding"
"P08134","RHOC",1.08205785269466,-0.349602510698801,1.54336813696362,"RHOC","ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]","small GTPase-mediated signal transduction; mitotic cytokinesis; positive regulation of cell migration; wound healing, spreading of cells; skeletal muscle satellite cell migration; positive regulation of canonical NF-kappaB signal transduction; signal transduction; regulation of actin cytoskeleton organization; actin filament organization; cell migration; positive regulation of protein-containing complex assembly; positive regulation of stress fiber assembly; apical junction assembly; positive regulation of lipase activity","plasma membrane; membrane; cytosol; endoplasmic reticulum membrane; nucleus","GTPase activity; GTP binding; nucleotide binding; protein binding; protein kinase binding"
"P08238","HSP90AB1",-2.67840447582805,-0.439205218019674,-2.41391664893376,"HSP90AB1","heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]","protein folding; telomere maintenance via telomerase; regulation of cell cycle; response to unfolded protein; positive regulation of cell differentiation; positive regulation of transforming growth factor beta receptor signaling pathway; negative regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of nitric oxide biosynthetic process; chaperone-mediated protein complex assembly; regulation of protein ubiquitination; telomerase holoenzyme complex assembly; positive regulation of protein localization to cell surface; protein stabilization; regulation of protein localization; cellular response to heat; virion attachment to host cell; supramolecular fiber organization; negative regulation of proteasomal protein catabolic process; placenta development; negative regulation of apoptotic process; cellular response to interleukin-4","nucleus; cytoplasm; extracellular region; plasma membrane; membrane; cytosol; mitochondrion; COP9 signalosome; protein-containing complex; ficolin-1-rich granule lumen; secretory granule lumen; nucleoplasm; neuronal cell body; perinuclear region of cytoplasm; axonal growth cone; protein folding chaperone complex; dendritic growth cone; aryl hydrocarbon receptor complex; HSP90-CDC37 chaperone complex","ATP binding; unfolded protein binding; ATP hydrolysis activity; RNA binding; nucleotide binding; protein binding; identical protein binding; kinase binding; heat shock protein binding; histone deacetylase binding; protein phosphatase activator activity; protein dimerization activity; histone methyltransferase binding; cadherin binding; disordered domain specific binding; TPR domain binding; tau protein binding; peptide binding; double-stranded RNA binding; MHC class II protein complex binding; nitric-oxide synthase regulator activity; protein homodimerization activity; ubiquitin protein ligase binding; ATP-dependent protein binding; protein folding chaperone; receptor ligand inhibitor activity; protein kinase regulator activity; protein kinase binding"
"P08648","ITGA5",-2.36502338921567,-0.834587432831167,-1.64985086626872,"ITGA5","integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]","cell adhesion; integrin-mediated signaling pathway; cell adhesion mediated by integrin; symbiont entry into host cell; tissue development; CD40 signaling pathway; cell-cell adhesion; heterotypic cell-cell adhesion; formation of primary germ layer; cell-substrate adhesion; angiogenesis; wound healing, spreading of epidermal cells; positive regulation of vascular endothelial growth factor signaling pathway; positive regulation of sprouting angiogenesis; cell-matrix adhesion; regulation of angiogenesis; positive regulation of vascular endothelial growth factor receptor signaling pathway; endodermal cell differentiation; negative regulation of anoikis; autophagy; cell-substrate junction assembly; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules; leukocyte cell-cell adhesion; memory; negative regulation of autophagy; cell-cell adhesion mediated by integrin; female pregnancy; positive regulation of cell-substrate adhesion; response to muscle activity; positive regulation of cell migration","integrin complex; plasma membrane; membrane; focal adhesion; anchoring junction; cell junction; ruffle; cell-cell junction; alphav-beta3 integrin-vitronectin complex; integrin alpha5-beta1 complex; postsynaptic membrane; glutamatergic synapse; endoplasmic reticulum; Golgi apparatus; cytoplasmic vesicle; synapse","protein binding; signaling receptor binding; calcium ion binding; metal ion binding; virus receptor activity; signaling receptor activity; vascular endothelial growth factor receptor 2 binding; platelet-derived growth factor receptor binding; epidermal growth factor receptor binding; integrin binding; cell adhesion molecule binding"
