"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-9710421","Defective pyroptosis",32,0.577486092463204,1.89064553449638,0.00108381540368698,0.00930800557123329,0.00738917457547073,220,"tags=78%, list=25%, signal=61%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-9821002","Chromatin modifications during the maternal to zygotic transition (MZT)",32,0.577486092463204,1.89064553449638,0.00108381540368698,0.00930800557123329,0.00738917457547073,220,"tags=78%, list=25%, signal=61%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-9843940","Regulation of endogenous retroelements by KRAB-ZFP proteins",32,0.577486092463204,1.89064553449638,0.00108381540368698,0.00930800557123329,0.00738917457547073,220,"tags=78%, list=25%, signal=61%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-9843970","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex",32,0.577486092463204,1.89064553449638,0.00108381540368698,0.00930800557123329,0.00738917457547073,220,"tags=78%, list=25%, signal=61%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-9816359","Maternal to zygotic transition (MZT)",37,0.56012536748839,1.8877774303769,0.000675481836416763,0.00930800557123329,0.00738917457547073,220,"tags=76%, list=25%, signal=59%","1975/26986/1974/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-212165","Epigenetic regulation of gene expression",36,0.558956659300389,1.87184021088928,0.000565832217936392,0.00930800557123329,0.00738917457547073,220,"tags=72%, list=25%, signal=57%","948/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-211000","Gene Silencing by RNA",34,0.565256671358778,1.86342536685472,0.000933450385794559,0.00930800557123329,0.00738917457547073,220,"tags=76%, list=25%, signal=60%","5901/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex",34,0.563475961582453,1.85755507830025,0.00104046880250006,0.00930800557123329,0.00738917457547073,220,"tags=76%, list=25%, signal=60%","8607/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",33,0.561298478744701,1.84463001050949,0.00074416107379244,0.00930800557123329,0.00738917457547073,220,"tags=76%, list=25%, signal=59%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-68616","Assembly of the ORC complex at the origin of replication",33,0.560805732355054,1.84301066748197,0.00074416107379244,0.00930800557123329,0.00738917457547073,220,"tags=76%, list=25%, signal=59%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-68875","Mitotic Prophase",38,0.541445417433693,1.83138566919704,0.00112015120977613,0.00930800557123329,0.00738917457547073,220,"tags=71%, list=25%, signal=56%","5518/5594/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-9842860","Regulation of endogenous retroelements",33,0.557006733455007,1.83052578172815,0.000887037197578398,0.00930800557123329,0.00738917457547073,220,"tags=76%, list=25%, signal=59%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-9845323","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)",33,0.557006733455007,1.83052578172815,0.000887037197578398,0.00930800557123329,0.00738917457547073,220,"tags=76%, list=25%, signal=59%","8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3014/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
